基金代码,基金简称,期间涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
014805,国金量化精选混合A,GJLHJXHHA,21.03,,0,2022-03-18,1,1,2022-11-08,1.2103,1.2103,2022-03-18,1,0.15%,1,0.15%,1,1.50%
162717,广发再融资主题(LOF)A,GFZRZZTLOFA,20.8696,,0,2021-11-09,1.4466,1.4466,2022-11-08,1.7485,1.7485,2016-12-19,1,0.15%,1,0.15%,1,1.50%
011270,中银证券优势制造股票C,ZYZQYSZZGPC,20.8608,,0,2021-11-09,0.8945,0.8945,2022-11-08,1.0811,1.0811,2021-07-08,1,0.00%,,,,
013711,广发再融资主题(LOF)C,GFZRZZTLOFC,20.7936,,0,2021-11-09,1.4466,1.4466,2022-11-08,1.7474,1.7474,2021-09-23,1,0.00%,,,,
014191,广发先进制造股票发起式A,GFXJZZGPFQSA,20.75,,0,2022-03-01,1,1,2022-11-08,1.2075,1.2075,2022-03-01,1,0.15%,1,0.15%,1,1.50%
014806,国金量化精选混合C,GJLHJXHHC,20.64,,0,2022-03-18,1,1,2022-11-08,1.2064,1.2064,2022-03-18,1,0.00%,,,,
014192,广发先进制造股票发起式C,GFXJZZGPFQSC,20.43,,0,2022-03-01,1,1,2022-11-08,1.2043,1.2043,2022-03-01,1,0.00%,,,,
008422,中融研发创新混合A,ZRYFCXHHA,20.16,,0,2021-12-28,1,1,2022-11-08,1.2016,1.2016,2021-12-28,1,0.15%,1,0.15%,1,1.50%
015566,万家精选混合C,WJJXHHC,19.918155,,0,2022-04-25,1.2707,1.2707,2022-11-08,1.5238,1.5238,2022-04-25,1,0.00%,,,,
166301,华商新趋势优选灵活配置混合,HSXQSYXLHPZHH,19.8539,,0,2021-11-09,7.53,7.53,2022-11-08,9.025,9.025,2012-09-06,1,0.15%,1,0.15%,1,1.50%
013842,银华新锐成长混合A,YHXRCZHHA,19.7,,0,2022-03-31,1,1,2022-11-08,1.197,1.197,2022-03-31,1,0.15%,1,0.15%,1,1.50%
008423,中融研发创新混合C,ZRYFCXHHC,19.64,,0,2021-12-28,1,1,2022-11-08,1.1964,1.1964,2021-12-28,1,0.00%,,,,
014902,长城新能源股票发起式A,CCXNYGPFQSA,19.59,,0,2022-01-19,1,1,2022-11-08,1.1959,1.1959,2022-01-19,1,0.15%,1,0.15%,1,1.50%
014574,鑫元清洁能源混合发起式A,XYQJNYHHFQSA,19.26,,0,2022-01-26,1,1,2022-11-08,1.1926,1.1926,2022-01-26,1,0.12%,1,0.12%,1,1.20%
013843,银华新锐成长混合C,YHXRCZHHC,19.12,,0,2022-03-31,1,1,2022-11-08,1.1912,1.1912,2022-03-31,1,0.00%,,,,
014903,长城新能源股票发起式C,CCXNYGPFQSC,19.03,,0,2022-01-19,1,1,2022-11-08,1.1903,1.1903,2022-01-19,1,0.00%,,,,
014575,鑫元清洁能源混合发起式C,XYQJNYHHFQSC,18.91,,0,2022-01-26,1,1,2022-11-08,1.1891,1.1891,2022-01-26,1,0.00%,,,,
003175,华泰柏瑞多策略混合A,HTBRDCLHHA,17.9854,,0,2021-11-09,1.7681,1.7681,2022-11-08,2.0861,2.0861,2016-09-29,1,0.15%,1,0.15%,1,1.50%
014350,华商卓越成长一年持有混合A,HSZYCZYNCYHHA,17.89,,0,2022-03-01,1,1,2022-11-08,1.1789,1.1789,2022-03-01,3,1.50%,99,1.50%,99,1.50%
004475,华泰柏瑞富利混合A,HTBRFLHHA,17.8460,,0,2021-11-09,1.5998,1.5998,2022-11-08,1.8853,1.8853,2017-09-12,1,0.15%,1,0.15%,1,1.50%
